step,x,y,new_color,ant_dx,ant_dy
878,107,101,1,1,0
879,108,101,0,0,-1
880,108,100,0,-1,0
881,107,100,0,0,1
882,107,101,0,1,0
883,108,101,1,0,1
884,108,102,0,1,0
885,109,102,1,0,1
886,109,103,1,-1,0
887,108,103,1,0,-1
888,108,102,1,1,0
889,109,102,0,0,-1
890,109,101,1,1,0
891,110,101,1,0,1
892,110,102,1,-1,0
893,109,102,1,0,-1
894,109,101,0,-1,0
895,108,101,0,0,1
896,108,102,0,1,0
897,109,102,0,0,-1
898,109,101,1,1,0
899,110,101,0,0,-1
900,110,100,1,1,0
901,111,100,1,0,1
902,111,101,1,-1,0
903,110,101,1,0,-1
904,110,100,0,-1,0
905,109,100,1,0,-1
906,109,99,1,1,0
907,110,99,1,0,1
908,110,100,1,-1,0
909,109,100,0,0,1
910,109,101,0,1,0
911,110,101,0,0,-1
912,110,100,0,-1,0
913,109,100,1,0,-1
914,109,99,0,-1,0
915,108,99,0,0,1
916,108,100,1,-1,0
917,107,100,1,0,-1
918,107,99,1,1,0
919,108,99,1,0,1
920,108,100,0,1,0
921,109,100,0,0,-1
922,109,99,1,1,0
923,110,99,0,0,-1
924,110,98,1,1,0
925,111,98,1,0,1
926,111,99,1,-1,0
927,110,99,1,0,-1
928,110,98,0,-1,0
929,109,98,1,0,-1
930,109,97,1,1,0
931,110,97,1,0,1
932,110,98,1,-1,0
933,109,98,0,0,1
934,109,99,0,1,0
935,110,99,0,0,-1
936,110,98,0,-1,0
937,109,98,1,0,-1
938,109,97,0,-1,0
939,108,97,0,0,1
940,108,98,0,1,0
941,109,98,0,0,-1
942,109,97,1,1,0
943,110,97,0,0,-1
944,110,96,1,1,0
945,111,96,1,0,1
946,111,97,1,-1,0
947,110,97,1,0,-1
948,110,96,0,-1,0
949,109,96,1,0,-1
950,109,95,1,1,0
951,110,95,1,0,1
952,110,96,1,-1,0
953,109,96,0,0,1
954,109,97,0,1,0
955,110,97,0,0,-1
956,110,96,0,-1,0
957,109,96,1,0,-1
958,109,95,0,-1,0
959,108,95,1,0,-1
960,108,94,1,1,0
961,109,94,1,0,1
962,109,95,1,-1,0
963,108,95,0,0,1
964,108,96,1,-1,0
965,107,96,1,0,-1
966,107,95,0,-1,0
967,106,95,0,0,1
968,106,96,0,1,0
969,107,96,0,0,-1
970,107,95,1,1,0
971,108,95,1,0,1
972,108,96,0,1,0
973,109,96,0,0,-1
974,109,95,0,-1,0
975,108,95,0,0,1
976,108,96,1,-1,0
977,107,96,1,0,-1
978,107,95,0,-1,0
979,106,95,1,0,-1
980,106,94,1,1,0
981,107,94,0,0,-1
982,107,93,1,1,0
983,108,93,1,0,1
984,108,94,0,1,0
985,109,94,0,0,-1
986,109,93,1,1,0
987,110,93,1,0,1
988,110,94,1,-1,0
989,109,94,1,0,-1
990,109,93,0,-1,0
991,108,93,0,0,1
992,108,94,1,-1,0
993,107,94,1,0,-1
994,107,93,0,-1,0
995,106,93,0,0,1
996,106,94,0,1,0
997,107,94,0,0,-1
998,107,93,1,1,0
999,108,93,1,0,1
1000,108,94,0,1,0
1001,109,94,0,0,-1
1002,109,93,1,1,0
1003,110,93,0,0,-1
1004,110,92,1,1,0
1005,111,92,1,0,1
1006,111,93,1,-1,0
1007,110,93,1,0,-1
1008,110,92,0,-1,0
1009,109,92,1,0,-1
1010,109,91,1,1,0
1011,110,91,1,0,1
1012,110,92,1,-1,0
1013,109,92,0,0,1
1014,109,93,0,1,0
1015,110,93,0,0,-1
1016,110,92,0,-1,0
1017,109,92,1,0,-1
1018,109,91,0,-1,0
1019,108,91,1,0,-1
1020,108,90,1,1,0
1021,109,90,1,0,1
1022,109,91,1,-1,0
1023,108,91,0,0,1
1024,108,92,1,-1,0
1025,107,92,1,0,-1
1026,107,91,1,1,0
1027,108,91,1,0,1
1028,108,92,0,1,0
1029,109,92,0,0,-1
1030,109,91,0,-1,0
1031,108,91,0,0,1
1032,108,92,1,-1,0
1033,107,92,0,0,1
1034,107,93,0,1,0
1035,108,93,0,0,-1
1036,108,92,0,-1,0
1037,107,92,1,0,-1
1038,107,91,0,-1,0
1039,106,91,1,0,-1
1040,106,90,1,1,0
1041,107,90,1,0,1
1042,107,91,1,-1,0
1043,106,91,0,0,1
1044,106,92,1,-1,0
1045,105,92,0,0,1
1046,105,93,0,1,0
1047,106,93,1,0,1
1048,106,94,1,-1,0
1049,105,94,0,0,1
1050,105,95,0,1,0
1051,106,95,0,0,-1
1052,106,94,0,-1,0
1053,105,94,1,0,-1
1054,105,93,1,1,0
1055,106,93,0,0,-1
1056,106,92,0,-1,0
1057,105,92,1,0,-1
1058,105,91,1,1,0
1059,106,91,1,0,1
1060,106,92,1,-1,0
1061,105,92,0,0,1
1062,105,93,0,1,0
1063,106,93,1,0,1
1064,106,94,1,-1,0
1065,105,94,0,0,1
1066,105,95,1,-1,0
1067,104,95,0,0,1
1068,104,96,0,1,0
1069,105,96,0,0,-1
1070,105,95,0,-1,0
1071,104,95,1,0,-1
1072,104,94,0,-1,0
1073,103,94,0,0,1
1074,103,95,0,1,0
1075,104,95,0,0,-1
1076,104,94,1,1,0
1077,105,94,1,0,1
1078,105,95,1,-1,0
1079,104,95,1,0,-1
1080,104,94,0,-1,0
1081,103,94,1,0,-1
1082,103,93,0,-1,0
1083,102,93,0,0,1
1084,102,94,1,-1,0
1085,101,94,1,0,-1
1086,101,93,1,1,0
1087,102,93,1,0,1
1088,102,94,0,1,0
1089,103,94,0,0,-1
1090,103,93,1,1,0
1091,104,93,0,0,-1
1092,104,92,0,-1,0
1093,103,92,1,0,-1
1094,103,91,1,1,0
1095,104,91,1,0,1
1096,104,92,1,-1,0
1097,103,92,0,0,1
1098,103,93,0,1,0
1099,104,93,1,0,1
1100,104,94,1,-1,0
1101,103,94,1,0,-1
